gene,rna_lfc,rna_p,prot_lfc,prot_p,neglog10p,concordant,transcriptomic,proteomic,genomic,score
NAF1,-0.2091547429782734,5.389640214651911e-06,0.3496662048925525,1.3143802176490058e-14,9.69897000433602,False,0.2091547429782734,0.3496662048925525,9.69897000433602,0.5562770562770563
LPAR1,-0.4771330153683077,3.078871023930461e-07,-0.2800111611180909,0.0003057581425081,7.096910013008056,True,0.4771330153683077,0.2800111611180909,7.096910013008056,0.5551948051948051
RALY,0.2402093269740373,1.888395731208963e-07,0.3950466220826002,6.319241550874723e-30,7.698970004336019,True,0.2402093269740373,0.3950466220826002,7.698970004336019,0.5508658008658008
NLRP1,-0.827763645998937,3.672327012246686e-25,-0.2935130945234276,2.6007013404782743e-11,6.0,True,0.827763645998937,0.2935130945234276,6.0,0.5508658008658008
BPTF,0.0928272390037108,0.0111028715366484,0.3727147045374046,2.9481350576610287e-41,12.0,True,0.0928272390037108,0.3727147045374046,12.0,0.5508658008658008
CCSER1,0.929782723900372,3.117036168741137e-16,0.5548061276286432,4.386112431336635e-12,5.096910013008056,True,0.929782723900372,0.5548061276286432,5.096910013008056,0.5497835497835497
SLK,-0.3920429252782202,1.3483469317416342e-11,-0.1639410355024484,8.07480107578828e-10,16.69897000433602,True,0.3920429252782202,0.1639410355024484,16.69897000433602,0.5465367965367964
AQP3,0.4911234764175933,0.0053207247749752,0.1408597508585438,0.1391502996966994,12.0,True,0.4911234764175933,0.1408597508585438,12.0,0.5432900432900433
MECOM,-0.6088765235824045,6.752149225824992e-07,-0.2538190867674341,0.18151009560318,6.698970004336019,True,0.6088765235824045,0.2538190867674341,6.698970004336019,0.54004329004329
ESF1,0.1103126656067843,0.0353431496019008,0.6106388810991706,1.6918998037890768e-44,6.698970004336019,True,0.1103126656067843,0.6106388810991706,6.698970004336019,0.5389610389610389
CNTLN,-0.78543720190779,3.225755715094892e-28,-0.3682987267410462,1.531718393705089e-05,5.522878745280337,True,0.78543720190779,0.3682987267410462,5.522878745280337,0.5335497835497836
STN1,-0.4432511923688409,1.1068650418701539e-11,-0.1057974765790758,0.0003273818665329,16.69897000433602,True,0.4432511923688409,0.1057974765790758,16.69897000433602,0.5324675324675323
CAPZB,0.060476947535772,0.1166668879564334,-1.288806540059268,4.718698004744033e-65,6.221848749616356,False,0.060476947535772,1.288806540059268,6.221848749616356,0.5303030303030303
UBAC1,-0.0891335453100143,0.0509313431272177,-0.8859424184543907,4.5131008859835265e-53,6.221848749616356,True,0.0891335453100143,0.8859424184543907,6.221848749616356,0.5292207792207793
BPTF,0.0928272390037108,0.0111028715366484,-0.3047085050452321,0.0006447723641934,12.0,False,0.0928272390037108,0.3047085050452321,12.0,0.5248917748917749
SATB1,-0.8467912029676725,1.2719743456813343e-27,-0.4336881552937158,0.049444686352395,5.221848749616356,True,0.8467912029676725,0.4336881552937158,5.221848749616356,0.5238095238095237
RASSF3,-0.5666189719130905,1.1880199781307674e-14,-0.2597022799936263,4.809924401278755e-09,6.221848749616356,True,0.5666189719130905,0.2597022799936263,6.221848749616356,0.5162337662337663
DCBLD1,0.4915182829888689,3.0051143838130115e-11,-0.0137516401755699,0.7680249149952515,22.522878745280337,False,0.4915182829888689,0.0137516401755699,22.522878745280337,0.5108225108225107
