gene	log2fc	pval
AC002094.5	0.07095124536301034	0.3895618851628112
AC002101.1	-0.01098569157392687	0.7854392286031326
AC002115.1	0.011144674085850556	0.7920745702119777
AC002116.1	0.4157419183889788	1.393712817860802e-10
AC002116.2	0.9646952835188132	1.0832957969445323e-16
AC002127.1	0.02569422363540011	0.4185697652549927
AC002128.1	0.03851616322204521	0.5730920134372101
AC002128.2	0.4363063063063053	2.219063775972508e-06
AC002306.1	-0.1268071012188665	0.30615839959615415
AC002310.1	0.8830153683094863	8.183970612422636e-22
AC002310.2	1.1661314255431898	1.287367138603561e-11
AC002310.3	1.0297005829358765	1.816741948791255e-19
AC002310.4	0.9820614732379438	0.011025051058975464
AC002310.5	-0.02548489666136966	0.7669967185294313
AC002331.1	0.7729411764705882	3.5294189978096697e-06
AC002347.1	-0.1590381558028615	0.21508299593442198
AC002347.2	0.0	
AC002350.2	0.1146899841017488	0.026451654629659423
AC002351.1	0.7210466348701643	2.2173158150307042e-07
AC002359.1	0.03869634340222576	0.10845785425660717
AC002365.1	0.004080551139374673	0.8853465773411381
AC002366.1	-2.4104425013248534	1.7838578803373773e-73
AC002368.1	0.08091944886062535	0.3345056114447331
AC002375.1	0.005188129305776366	0.8238324732539745
AC002377.1	0.3572840487546367	0.029457284966448005
AC002378.1	0.9864626391096979	3.036874098963815e-06
AC002381.1	0.3310598834128249	0.0001376830120506121
AC002383.1	0.12737148913619656	0.018229427570876946
AC002386.1	-0.004618441971383169	0.909276944883082
AC002398.1	0.4055060943296236	0.00079169415755086
AC002398.2	0.13912294647588763	0.09925452388197142
AC002401.1	-0.03214626391096978	0.6187786161400306
AC002401.2	0.3381001589825121	0.008025504726956349
AC002401.3	0.20913354531001604	0.08162723719240084
AC002401.4	0.2328139904610489	0.22510145584946986
AC002407.1	0.0	
AC002407.2	0.2965951245363012	0.048273012162648815
AC002416.1	-0.4474059353471116	9.099786239079476e-05
AC002428.1	0.0	
AC002428.2	0.05339692633810281	0.03983532228065287
AC002429.1	0.3488420773714891	0.0011934704046145837
AC002451.1	-1.3881875993640707	1.4451236185500812e-27
AC002451.2	-0.05017488076311771	0.3388372341212734
AC002456.1	-0.1550556438791748	0.11869061587913265
AC002456.2	0.07283253842077364	0.43416454564134405
AC002458.1	-0.49253047164811825	7.44350917748e-07
AC002460.1	0.21776099629040804	0.007520401896452785
AC002460.2	-0.07768680445151155	0.646634422477066
AC002461.1	0.0	
AC002463.1	-0.12025437201907829	0.2545243396269815
AC002464.1	-0.5991229464758878	4.799046204169853e-06
AC002465.1	-0.1989030206677265	0.012999623510571155
AC002467.1	-0.21319289878113334	0.008486838672037355
AC002470.1	0.3115871754107047	0.007403961808605144
AC002470.2	-0.23278749337572924	0.3974234800216156
AC002472.1	-0.14705617382087965	0.07236471715618997
AC002472.2	-0.5757154213036562	9.316832204183742e-05
AC002472.3	-0.014374668786433481	0.8184874540051074
AC002472.4	0.0	
AC002480.1	0.2955193428722831	0.07182069084848841
AC002480.2	0.22134340222575588	0.15805097642312504
AC002486.1	0.06671171171171171	0.07494475010762208
AC002486.2	0.021078431372549028	0.4936535446151791
AC002487.1	-0.02257551669316376	0.5455525584604688
AC002504.1	0.589173290937997	5.428010103721975e-07
AC002511.1	-0.14307366189719128	0.4261055284204814
AC002511.2	-0.10108638049814545	0.4215600447055602
AC002511.3	-0.031886592474827766	0.32226583944188214
AC002519.1	0.4834764175940647	0.00012238306327437074
AC002519.2	-0.18331743508214104	0.09324789194518149
AC002524.1	0.023423423423423424	0.18155173168759012
AC002525.1	-0.44290937996820645	0.010923261162873057
AC002529.1	0.31624801271860203	0.0029921816586363703
AC002540.1	-0.8515262321144657	7.3571628877726194e-09
