gene	neglog10p
TP63	35.69897000433602
TPRG1	35.69897000433602
TRMT9B	5.221848749616356
TSBP1-AS1	16.0
TUB	5.154901959985743
TUBA1C	6.045757490560675
U3	6.3979400086720375
UBAC1	6.221848749616356
UBE2E1-AS1	5.698970004336019
UBE4A	5.301029995663981
UBQLN1P1	6.301029995663981
UBXN4	6.301029995663981
USHBP1	8.698970004336019
VTI1A	23.69897000433602
VWF	5.522878745280337
WSCD1	6.0
Y_RNA	5.3979400086720375
ZNF970P	5.301029995663981
ZZZ3	5.698970004336019
